"","user","video","TTFF"
"1","Erfan","Day_Sunny_Town_3",21389
"2","Erfan","Day_Sunny_Town_4",21155
"3","Erfan","Day_Rain_High_2",21982
"4","Erfan","Night_Rain_Town_3",20895
"5","Erfan","Day_Rain_Town_3",17494
"6","Erfan","Night_Rain_High_2",21145
"7","Erfan","Night_Rain_Town_2",21145
"8","Erfan","Day_Sunny_High_2",21001
"9","Erfan","Night_Sunny_Town_1",20516
"10","Erfan","Day_Rain_Town_1",23328
"11","Erfan","Night_Rain_Town_1",3758
"12","Erfan","Day_Rain_Town_2",20895
"13","Erfan","Night_Rain_High_1",14328
"14","Erfan","Night_Sunny_Town_2",7741
"15","Erfan","Night_Sunny_High_1",4117
"16","Erfan","Night_Rain_High_3",21155
"17","Erfan","Day_Sunny_Town_1",6665
"18","Erfan","Night_Rain_High_4",21145
"19","Erfan","Night_Sunny_High_2",21155
"20","Erfan","Day_Sunny_High_1",21389
"21","Erfan","Day_Rain_High_1",21155
"22","Anna","Day_Sunny_Town_3",5581
"23","Anna","Day_Sunny_Town_4",6000
"24","Anna","Day_Rain_High_2",3533
"25","Anna","Night_Rain_Town_3",6665
"26","Anna","Day_Rain_Town_3",5940
"27","Anna","Night_Rain_High_2",5940
"28","Anna","Night_Rain_Town_2",4259
"29","Anna","Day_Sunny_High_2",20426
"30","Anna","Night_Sunny_Town_1",2736
"31","Anna","Day_Rain_Town_1",20571
"32","Anna","Night_Rain_Town_1",3758
"33","Anna","Day_Rain_Town_2",21642
"34","Anna","Night_Rain_High_1",10286
"35","Anna","Night_Sunny_Town_2",16529
"36","Anna","Night_Sunny_High_1",4117
"37","Anna","Night_Rain_High_3",6000
"38","Anna","Day_Sunny_Town_1",6665
"39","Anna","Night_Rain_High_4",5940
"40","Anna","Night_Sunny_High_2",6000
"41","Anna","Day_Sunny_High_1",5581
"42","Anna","Day_Rain_High_1",6000
"43","Janie","Day_Sunny_Town_3",3994
"44","Janie","Day_Sunny_Town_4",20318
"45","Janie","Day_Rain_High_2",21274
"46","Janie","Night_Rain_Town_3",19786
"47","Janie","Day_Rain_Town_3",13072
"48","Janie","Night_Rain_High_2",20318
"49","Janie","Night_Rain_Town_2",21252
"50","Janie","Day_Sunny_High_2",20698
"51","Janie","Night_Sunny_Town_1",20493
"52","Janie","Day_Rain_Town_1",19963
"53","Janie","Night_Rain_Town_1",19735
"54","Janie","Day_Rain_Town_2",21138
"55","Janie","Night_Rain_High_1",19607
"56","Janie","Night_Sunny_Town_2",22076
"57","Janie","Night_Sunny_High_1",20642
"58","Janie","Night_Rain_High_3",5155
"59","Janie","Day_Sunny_Town_1",20870
"60","Janie","Night_Rain_High_4",21450
"61","Janie","Night_Sunny_High_2",20000
"62","Janie","Day_Sunny_High_1",19834
"63","Janie","Day_Rain_High_1",20424
"64","Shili","Day_Sunny_Town_3",24604
"65","Shili","Day_Sunny_Town_4",23010
"66","Shili","Day_Rain_High_2",3533
"67","Shili","Night_Rain_Town_3",23010
"68","Shili","Day_Rain_Town_3",6688
"69","Shili","Night_Rain_High_2",23010
"70","Shili","Night_Rain_Town_2",6688
"71","Shili","Day_Sunny_High_2",6688
"72","Shili","Night_Sunny_Town_1",22218
"73","Shili","Day_Rain_Town_1",22218
"74","Shili","Night_Rain_Town_1",3758
"75","Shili","Day_Rain_Town_2",24604
"76","Shili","Night_Rain_High_1",23010
"77","Shili","Night_Sunny_Town_2",5581
"78","Shili","Night_Sunny_High_1",24604
"79","Shili","Night_Rain_High_3",22218
"80","Shili","Day_Sunny_Town_1",6688
"81","Shili","Night_Rain_High_4",24604
"82","Shili","Night_Sunny_High_2",5581
"83","Shili","Day_Sunny_High_1",5581
"84","Shili","Day_Rain_High_1",23010
"85","Minghui","Day_Sunny_Town_3",19658
"86","Minghui","Day_Sunny_Town_4",21225
"87","Minghui","Day_Rain_High_2",3533
"88","Minghui","Night_Rain_Town_3",21225
"89","Minghui","Day_Rain_Town_3",19435
"90","Minghui","Night_Rain_High_2",21225
"91","Minghui","Night_Rain_Town_2",19435
"92","Minghui","Day_Sunny_High_2",19435
"93","Minghui","Night_Sunny_Town_1",21040
"94","Minghui","Day_Rain_Town_1",21040
"95","Minghui","Night_Rain_Town_1",19658
"96","Minghui","Day_Rain_Town_2",19435
"97","Minghui","Night_Rain_High_1",21225
"98","Minghui","Night_Sunny_Town_2",19808
"99","Minghui","Night_Sunny_High_1",19658
"100","Minghui","Night_Rain_High_3",21040
"101","Minghui","Day_Sunny_Town_1",6688
"102","Minghui","Night_Rain_High_4",19658
"103","Minghui","Night_Sunny_High_2",19808
"104","Minghui","Day_Sunny_High_1",19808
"105","Minghui","Day_Rain_High_1",21225
"106","Vishesh","Day_Sunny_Town_3",20626
"107","Vishesh","Day_Sunny_Town_4",6000
"108","Vishesh","Day_Rain_High_2",20992
"109","Vishesh","Night_Rain_Town_3",20626
"110","Vishesh","Day_Rain_Town_3",6000
"111","Vishesh","Night_Rain_High_2",19492
"112","Vishesh","Night_Rain_Town_2",19492
"113","Vishesh","Day_Sunny_High_2",6000
