,video,x,y
0,Day_Rain_Town_2,40,30
1,Night_Sunny_Town_2,18,9
2,Night_Sunny_Town_1,30,18
3,Night_Sunny_High_2,29,18
4,Night_Sunny_High_1,17,12
5,Night_Rain_Town_3,30,20
6,Night_Rain_Town_2,40,33
7,Night_Rain_High_4,470,114
8,Night_Rain_High_3,40,37
9,Night_Rain_High_2,47,35
10,Day_Sunny_Town_1,40,30
11,Day_Sunny_High_2,54,44
12,Day_Sunny_High_1,125,70
13,Day_Rain_Town_3,17,12
14,Day_Rain_Town_1,32,35
15,Day_Rain_High_2,94,80
16,Day_Rain_High_1,25,20
17,Night_Rain_High_1,30,30
18,Day_Sunny_Town_3,71,48
19,Day_Sunny_Town_4,35,28
20,Night_Rain_Town_1,32,25
