,video,xSplit,ySplit
0,Day_Rain_Town_2,40,30
1,Night_Sunny_Town_2,16,9
2,Night_Sunny_Town_1,30,18
3,Night_Sunny_High_2,30,18
4,Night_Sunny_High_1,16,12
5,Night_Rain_Town_3,30,20
6,Night_Rain_Town_2,40,30
7,Night_Rain_High_4,480,120
8,Night_Rain_High_3,40,36
9,Night_Rain_High_2,48,36
10,Day_Sunny_Town_1,40,30
11,Day_Sunny_High_2,60,45
12,Day_Sunny_High_1,128,72
13,Day_Rain_Town_3,16,12
14,Day_Rain_Town_1,32,36
15,Day_Rain_High_2,96,72
16,Day_Rain_High_1,24,20
17,Night_Rain_High_1,30,30
18,Day_Sunny_Town_3,64,45
19,Day_Sunny_Town_4,32,27
20,Night_Rain_Town_1,32,24
